Frames Per Second,Frame Delivery Time (ms),Frame Queue Time (ms),Frame Latch Time (ms),Bandwidth Estimate (kbps),Bandwidth Utilization (kbps),Bandwidth Utilization (%),Round Trip Delay (ms),Jitter (us),Packets Received (total),Packets Lost (cumulative),Packets Dropped (cumulative)
111,123.8,2.3,5.8,27446,18209,44,67,630,5715050,4761,5848
26.3,121.7,2.4,34.9,26063,18985,44,68,627,5719497,4761,5848
79.9,121.6,2.9,9.8,27909,16642,35,67,897,5721551,4761,5851
28,122,2.7,30.8,20144,17238,49,67,787,5725566,4761,5851
79.1,117.4,3,9.8,31094,14189,32,69,691,5727522,4761,5851
55.5,119.1,2.8,15.1,30189,16791,39,67,677,5729544,4761,5851
19.8,109.5,3.6,47.4,38826,17853,25,67,545,5731485,4761,5851
26.3,123.1,2.7,35.1,22471,16665,51,67,913,5735229,4761,5851
87.4,113,3.2,8.6,46716,14339,20,69,593,5737053,4761,5851
24.6,112.8,2.3,38,35232,15978,25,66,567,5740449,4761,5851
73.8,110.8,2.3,10.4,40894,20293,29,69,525,5742468,4761,5851
26,114.9,2.6,35.5,34219,15886,31,67,676,5746532,4761,5851
19.1,113.2,2.7,49.3,38159,18626,28,66,488,5748618,4761,5851
23.6,106.5,2.3,38.4,55370,12405,11,66,602,5752392,4761,5851
197.5,148.6,2.8,2.1,9109,10701,95,67,1175,5753820,4761,5851
69.1,98.9,3.7,11.4,33903,17541,31,66,572,5759542,4761,5851
28.8,115.7,2.7,30.9,23555,13956,42,66,718,5761236,4761,5851
133.2,114.5,3.4,4.7,29438,14847,31,65,560,5762885,4761,5851
22.9,109.8,3.2,40.6,50374,19885,25,66,572,5766662,4761,5851
56.7,114.8,2.5,14.8,38004,19702,31,66,660,5768845,4761,5851
26,108.9,2.3,31.5,33571,10136,34,69,714,5777510,4813,5911
34.8,108.3,2.9,25.8,35832,10773,54,66,676,5779419,4820,5930
24.2,108.7,2.3,38,44099,9077,30,67,609,5783276,4826,5943
62.9,109.4,2.3,12.9,31258,12287,37,68,762,5785133,4826,5943
25.9,108.9,2.3,35.1,37942,10551,25,66,509,5788514,4826,5943
52.6,108.6,2.5,16.3,52491,11598,19,67,458,5790215,4826,5943
37.1,107.5,3.8,23.9,36143,10674,27,66,465,5795457,4840,5975
21.7,112.8,6.5,42.6,35528,10050,26,66,556,5797169,4854,5994
71.6,118.7,2.2,11.3,25928,14404,41,67,635,5805442,4854,5994
49.4,144.1,34.3,0,19286,9846,67,86,1967,5812835,4854,5994
53.3,142.9,5.5,0,6916,5947,100,77,2623,5814034,4854,5994
103.3,140.6,11.8,3.3,12396,3310,100,80,3541,5814870,4869,6013
53.4,142,46.2,0,12668,3697,42,76,1533,5815749,4869,6016
23.8,102.6,3.7,39.3,21415,2870,18,67,658,5817100,4877,6031
24.8,105.8,4.5,36.7,31278,2898,12,66,609,5818267,4877,6031
43.5,101.6,3.1,15.6,24323,4456,20,65,471,5819565,4877,6031
23.1,110,2.4,40.4,38492,7909,17,66,372,5821052,4877,6031
22.3,112.9,6.1,41,54508,16392,16,65,338,5823979,4877,6031
41.8,233.1,67.1,0,57594,19840,42,124,1580,5826279,4877,6031
51.6,159.3,37.8,0,34850,11495,61,85,2098,5827803,4877,6031
50.9,136.2,49.7,0,58977,11756,12,70,302,5829385,4877,6031
52.2,148.7,58.2,0,48052,17971,25,68,408,5831388,4877,6031
51.2,138.1,43.7,0,21895,22345,76,67,682,5834173,4877,6031
50.6,145.6,56.1,0,46624,27128,35,67,445,5837434,4877,6031
50.1,141.9,50,0,40976,29660,45,67,607,5841145,4877,6031
51,141.8,48.3,0,33875,28134,48,67,620,5844778,4877,6031
49.9,149.7,58,0,43268,30088,37,67,517,5848372,4877,6031
49.7,145.9,50,0,33730,31170,51,67,638,5852076,4877,6031
51.9,142.3,53,0,51787,28381,32,66,475,5855628,4877,6031
52.3,140.9,29.1,0,16434,24973,100,68,739,5859219,4877,6031
52.1,142.7,43,0,27291,19114,54,67,661,5861791,4877,6031
65.9,999.9,2.1,0,16877,2920,46,233,3164,5863951,4923,6099
50.8,137.4,55,0,38270,1010,6,116,847,5864894,4923,6099
49.5,142.8,58.9,0,48428,998,6,66,492,5865626,4923,6099
49.6,142.7,59.2,0,44772,1061,8,65,505,5866230,4923,6099
49.8,141.5,57.7,0,19340,1058,9,65,566,5866759,4923,6099
51.2,139.5,56.5,0,21881,2127,14,65,764,5867208,4923,6099
50.4,144.7,60.8,0,45818,5371,8,65,384,5868006,4923,6099
51.3,140.7,54.7,0,35984,11597,27,66,396,5869408,4923,6099
