Frames Per Second,Frame Delivery Time (ms),Frame Queue Time (ms),Frame Latch Time (ms),Bandwidth Estimate (kbps),Bandwidth Utilization (kbps),Bandwidth Utilization (%),Round Trip Delay (ms),Jitter (us),Packets Received (total),Packets Lost (cumulative),Packets Dropped (cumulative)
31.9,98.6,2.2,28,77997,22118,16,65,324,3399235,2412,2682
80.3,129.3,2.4,8.5,31692,14287,82,241,1958,3403512,2457,2735
33.2,100.5,6.8,19.6,88068,16125,11,65,327,3406717,2469,2748
35.6,97.6,2.1,25.3,72593,15070,15,65,329,3410429,2469,2748
13.1,124,2.5,67.4,70777,12616,12,66,314,3416989,2495,2776
76,130.8,2.3,10.1,44561,13493,21,65,399,3419803,2495,2776
32.6,104.6,2.2,26.3,66204,19576,20,65,393,3422889,2495,2776
102.3,130.5,2.2,7.1,54388,15054,17,65,523,3425757,2495,2776
17.4,104.4,2,54.7,61016,23376,21,66,416,3429666,2495,2776
21.7,96,2.2,42.6,87658,23664,14,65,358,3434274,2495,2776
19.9,386.9,2,47.5,13396,6833,68,143,2053,3439026,2528,2811
42.7,93.4,2.1,20.5,62830,3196,8,65,520,3440342,2528,2811
42.8,103.6,2.1,19.9,57475,4155,9,64,398,3441619,2528,2811
20.1,93.2,2,47,53535,6639,8,64,271,3443038,2528,2811
37.5,94.8,2.5,23.8,74555,10657,13,65,285,3445024,2528,2811
37.6,98.8,2.6,23.9,64098,21432,21,66,322,3448071,2528,2811
35.2,131,2.1,25.5,23153,20275,95,65,601,3452216,2528,2811
28.8,95.6,2.6,32,126229,12748,9,65,504,3455558,2528,2811
40,100.8,2.5,21.8,49564,16616,21,65,385,3458313,2528,2811
22.3,130.6,2.5,30.6,34519,9343,24,79,1433,3461675,2528,2811
27.7,94,2.1,33.3,64072,8019,10,65,354,3463892,2528,2811
34.2,96.3,2.5,26.4,61659,13487,14,64,280,3466137,2528,2811
160.6,138.3,2.3,3.5,41361,15835,32,65,384,3469501,2528,2811
39.9,95.6,2.5,22.1,68791,19858,15,66,321,3473654,2528,2811
28.1,98.1,2.7,32.3,68132,22677,20,66,365,3478402,2528,2811
19.5,136.2,2.4,47.8,36555,20891,71,81,1494,3483677,2613,2902
21.1,90.4,2.8,43.9,106610,7049,3,65,411,3488550,2613,2902
43.6,114.4,2.1,20.1,51029,10933,21,65,366,3490736,2613,2902
21.2,93.1,4.6,36.1,88629,8527,4,65,339,3492930,2613,2902
26.2,94.2,2.5,33.7,69525,12617,13,65,304,3496315,2613,2902
122.4,114.6,2.2,5.1,60895,24889,25,65,349,3500723,2613,2902
22.5,111.3,2.5,40.6,57309,21499,28,64,514,3505405,2651,2940
16.2,99.4,2.2,59,78291,17779,19,66,368,3510252,2651,2940
19.3,98.4,1.9,48.4,75545,19666,19,65,334,3515111,2651,2940
35,96.3,2.5,25.9,78065,24992,20,65,398,3519926,2651,2940
38.4,125.9,2.5,23,64801,29982,29,65,395,3524872,2651,2940
34.3,98.5,2.5,26.3,78587,30836,20,65,317,3530513,2651,2940
34.2,93.9,2.1,26.6,84140,31800,19,65,335,3536514,2651,2940
33.2,99.2,2.2,27.1,62859,28870,28,65,386,3542518,2651,2940
33,99,2.2,27.2,79545,29400,19,65,310,3548500,2651,2940
42.8,108.6,2,16.3,76441,32872,25,66,486,3554480,2651,2940
18,276.7,2.3,52.3,11216,23070,100,70,1182,3560480,2651,2940
27.4,106.4,2.9,32.8,70394,2027,4,750,3616,3562282,2689,3007
30.3,121.8,2.4,29.7,59120,1086,5,65,379,3563251,2689,3007
19.8,93.2,2.1,47.7,59954,1503,3,65,363,3564090,2689,3007
13.2,119.9,2,69.5,50349,1254,4,65,420,3564635,2689,3007
112,104.5,2.4,6,33499,3682,10,65,325,3565358,2689,3007
17.6,94,2,53.8,80041,7199,9,65,464,3566511,2689,3007
106.5,128.5,2.4,5.8,46448,5747,12,65,399,3568484,2700,3020
35.2,95.5,2.4,25.7,61258,6612,8,65,341,3570839,2700,3020
242.6,130.4,2.2,1.5,34871,7056,17,66,398,3573260,2700,3020
13.7,122.4,2,67.3,27359,11121,24,65,447,3575410,2700,3020
37.4,99.6,2.2,24,48875,16059,22,64,466,3577916,2700,3020
114.2,109.1,2.3,6.1,62621,16234,19,65,494,3580600,2700,3020
11.3,149.2,2,85.6,21084,5746,45,83,1738,3585718,2702,3024
30.9,94.7,2.3,29.4,51026,6983,11,66,472,3587541,2702,3024
29,112.3,2.3,31.8,23711,8662,34,67,821,3589551,2702,3024
22.8,95.4,2.1,40.6,57088,7719,9,65,415,3591503,2702,3024
23.1,96.6,2.5,39.4,48781,10753,21,65,480,3593776,2702,3024
29.6,93.3,2.3,31,72740,14561,11,66,397,3596714,2702,3024
25.2,98.6,2.3,36.2,54043,17425,19,67,530,3600242,2702,3024
13.6,133.2,2.1,66.1,25648,14449,31,67,771,3603755,2702,3024
40.7,138,2.9,21,23950,13901,66,66,761,3606524,2702,3024
36.6,101.9,2.4,24.3,44360,18208,26,66,437,3609748,2702,3024
31,98.6,2.8,28.6,51824,11870,13,66,454,3612794,2702,3024
30.5,95.6,2.4,29.3,62485,12637,13,65,421,3616143,2702,3024
18.9,94.2,2.4,50,65790,14220,14,65,369,3619744,2702,3024
1.8,230.3,9.8,536.1,7285,9698,100,67,1905,3624160,2750,3077
27.8,99.1,2.4,32.4,84491,2744,7,593,2372,3626094,2763,3143
14.6,127.3,3.2,64.6,41949,1708,10,65,540,3629146,2763,3143
63.2,125.5,2.5,12.2,49069,1731,7,65,517,3630396,2763,3143
26.2,95,2.5,35.5,53571,4821,7,65,491,3632316,2763,3143
22.7,94.3,2.3,41,57846,6687,6,66,490,3634233,2763,3143
